round_id,scene_id,qx,qy,qz,qw,x,y,z,width,score,label
0,78441c730ab140a5abbafdd4df1734cc,-0.08150040668095361,-0.961354590241447,0.18269894221486074,-0.1891457957399789,0.22499999999999998,0.351,0.09899999999999999,0.0564703402519226,0.86363965,0
0,7ada326bfad34a968ee276c70877858d,-0.08424520646807092,-0.8620888748661573,0.4934009701948554,-0.07912647869032577,0.08099999999999999,0.18,0.243,0.050296362876892084,0.9839341,1
0,3213b152f3e0406abbffd2b250ac473b,-0.09954411503279191,-0.9437341658610798,0.2905805399270181,-0.12255506176634677,0.09,0.126,0.153,0.049948109149932855,0.9798755,1
0,2397ab95325a4e01843ee633fe0a60b7,-0.12050882559394045,-0.9416676628823029,0.28106060233433416,-0.14051538510501937,0.21599999999999997,0.19799999999999998,0.126,0.05003085422515869,0.94324464,1
1,778a738443734118956fdf8b206d2197,-0.1172615026685854,-0.9411846678433621,0.28457685346805667,-0.13941727109187665,0.10799999999999998,0.08099999999999999,0.18,0.04999623870849609,0.8624461,0
1,33b5690a8c2a41078c817b5ca98734a2,-0.13919280463188197,-0.938636004504701,0.2976801692107258,-0.10475844140132852,0.063,0.18899999999999997,0.144,0.05004348850250244,0.89022785,0
2,75d739063104495aa832cfe7fddb7eae,-0.1356795347662881,-0.9464835544952522,0.25973568767115296,-0.13526757728897834,0.21599999999999997,0.243,0.144,0.04991294002532959,0.8960357,0
2,53905e3106894784b67e7aef090be92d,-0.18034411048356702,-0.9507285468387608,0.2315718413675279,-0.09982842443613733,0.072,0.26099999999999995,0.207,0.050114367485046385,0.90879405,1
2,294f13dea90b433a90ffd816c460d27e,-0.15853207873049532,-0.9530995529223626,0.22802206908000394,-0.12031108945169795,0.16199999999999998,0.26999999999999996,0.144,0.0499863896369934,0.8752886,1
2,73fd3218d5744535846fa12b7bb92067,-0.16468219324041444,-0.9465635937333927,0.24482352830915652,-0.1302251060061277,0.17099999999999999,0.17099999999999999,0.126,0.04990979433059692,0.9474139,0
2,d2c50248878f496898889145a30c67c7,-0.13021320582953205,-0.9496115794942176,0.2600722110444743,-0.1168110190030531,0.144,0.19799999999999998,0.126,0.05000862836837768,0.9382215,0
3,79865a2a2f10437a83f375019c2d1499,-0.14729172585507788,-0.9546381250475052,0.22991217764414815,-0.11879220627356914,0.17099999999999999,0.21599999999999997,0.126,0.04989642190933227,0.88631386,1
4,e70eb7a1cd8845888ed8e639fa6bb580,-0.1580111656675543,-0.962630971486437,0.18270855844418224,-0.12244046280012351,0.207,0.252,0.16199999999999998,0.04998224401473999,0.8561897,1
4,88a62dab11c24ae5a4cb77c3f88113f1,-0.17000539143608942,-0.9528130275732133,0.2175253612831413,-0.12620704642795488,0.09899999999999999,0.26099999999999995,0.144,0.04993306732177734,0.89889616,1
4,ee8cdb008ac4439c9eb4fb593598113e,-0.15220990614728866,-0.9388072986642572,0.28602051429968084,-0.11689852798517146,0.144,0.18899999999999997,0.126,0.04987336778640747,0.9695418,0
4,838785bcf9ab43698ae40d4fed7e1e20,-0.18235695271623342,-0.9484566403065857,0.23418620112587057,-0.11105298940878025,0.144,0.22499999999999998,0.126,0.04982735395431518,0.9397509,0
